City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
luderitz,NA,54.54,72,0,9.17,-26.6481,15.1594,1627439616
groningen,NL,62.67,74,20,8.05,53.25,6.75,1627439542
oriximina,BR,77.32,63,7,4.85,-1.7656,-55.8661,1627439617
lasa,IT,61.54,94,66,2.8,46.6166,10.7002,1627439617
rio grande,BR,39.94,63,3,19.86,-32.035,-52.0986,1627439617
inirida,CO,72.73,99,100,2.93,3.8653,-67.9239,1627439618
vaini,TO,69.96,83,75,8.05,-21.2,-175.2,1627439618
barrow,US,42.82,91,90,19.57,71.2906,-156.7887,1627439584
wilmington island,US,80.98,72,75,0.0,32.0036,-80.9737,1627439333
adrar,MR,85.05,36,100,12.01,20.5022,-10.0711,1627439618
tevriz,RU,59.2,86,63,5.19,57.509,72.4042,1627439619
mahebourg,MU,68.25,94,75,16.11,-20.4081,57.7,1627439598
husavik,IS,49.91,98,100,9.98,66.0449,-17.3389,1627439619
te anau,NZ,52.32,70,93,3.0,-45.4167,167.7167,1627439619
lagos,NG,75.52,84,100,6.35,6.5833,3.75,1627439620
yar-sale,RU,50.65,63,100,12.37,66.8333,70.8333,1627439620
bethel,US,76.12,85,90,0.0,41.3712,-73.414,1627439620
mataura,NZ,51.48,79,79,1.45,-46.1927,168.8643,1627439620
kavaratti,IN,81.59,78,100,19.73,10.5669,72.642,1627439621
nagyatad,HU,67.86,60,21,5.59,46.2296,17.3579,1627439621
comodoro rivadavia,AR,37.26,75,0,2.3,-45.8667,-67.5,1627439621
arraial do cabo,BR,70.21,84,0,19.93,-22.9661,-42.0278,1627439622
new norfolk,AU,57.92,47,53,12.26,-42.7826,147.0587,1627439622
hilo,US,80.33,83,90,11.5,19.7297,-155.09,1627439465
vostok,RU,87.28,57,73,0.85,46.4856,135.8833,1627439622
hambantota,LK,82.74,83,100,4.61,6.1241,81.1185,1627439622
lagoa,PT,69.8,91,90,7.43,39.05,-27.9833,1627439623
almaznyy,RU,60.94,67,0,4.59,48.0448,40.045,1627439623
flin flon,CA,64.96,66,6,4.68,54.7682,-101.865,1627439623
saint anthony,US,86.86,74,1,1.99,45.0205,-93.218,1627439608
kununurra,AU,87.78,45,19,4.61,-15.7667,128.7333,1627439624
provideniya,RU,50.11,81,90,15.66,64.3833,-173.3,1627439574
lata,PT,61.92,98,25,1.41,40.1629,-8.3327,1627439362
kemijarvi,FI,59.58,77,28,2.89,66.7131,27.4306,1627439624
itarema,BR,77.61,83,15,14.32,-2.9248,-39.9167,1627439625
khatanga,RU,85.77,39,8,18.66,71.9667,102.5,1627439597
sayyan,YE,63.16,70,37,3.51,15.1718,44.3244,1627439625
chokurdakh,RU,50.61,44,55,13.98,70.6333,147.9167,1627439591
lydenburg,ZA,44.4,55,0,1.9,-25.0978,30.4597,1627439625
upernavik,GL,49.1,75,98,8.81,72.7868,-56.1549,1627439572
karaton,ID,82.33,50,58,1.41,-6.3424,106.1045,1627439626
rio gallegos,AR,41.05,87,0,13.8,-51.6226,-69.2181,1627439350
lebu,CL,45.07,81,0,19.69,-37.6167,-73.65,1627439626
longyearbyen,SJ,42.64,93,75,10.36,78.2186,15.6401,1627439626
cherskiy,RU,38.23,75,100,18.63,68.75,161.3,1627439627
lepaterique,HN,67.6,94,99,2.73,14.0667,-87.4667,1627439627
mecca,SA,80.37,81,99,4.34,21.4267,39.8261,1627439498
souillac,MU,68.36,94,75,16.11,-20.5167,57.5167,1627439627
la ronge,CA,64.65,68,40,10.36,55.1001,-105.2842,1627439628
kailua,US,84.18,68,75,13.8,21.4022,-157.7394,1627438903
georgetown,MY,85.98,74,20,3.0,5.4112,100.3354,1627439593
sawakin,SD,88.79,59,85,14.72,19.1059,37.3321,1627439628
barguzin,RU,76.37,46,31,3.06,53.6167,109.6167,1627439628
tuktoyaktuk,CA,53.6,71,75,5.75,69.4541,-133.0374,1627439629
kaitangata,NZ,54.93,49,68,1.03,-46.2817,169.8464,1627439629
calabozo,VE,73.96,93,70,4.38,8.9242,-67.4293,1627439629
dandong,CN,90.3,58,84,2.51,40.1292,124.3947,1627439630
juneau,US,62.6,75,75,6.91,58.3019,-134.4197,1627439630
norman wells,CA,66.24,59,75,12.66,65.282,-126.8329,1627439630
yerbogachen,RU,84.6,37,3,10.74,61.2767,108.0108,1627439631
fayaoue,NC,72.19,60,18,16.08,-20.65,166.5333,1627439631
cabo san lucas,MX,90.7,69,1,8.01,22.8909,-109.9124,1627439400
boromo,BF,75.22,87,100,7.18,11.75,-2.9333,1627439631
saint-pierre,RE,65.88,90,75,19.57,-21.3393,55.4781,1627439631
tasiilaq,GL,37.56,79,22,7.31,65.6145,-37.6368,1627439594
samana,DO,78.13,87,59,7.85,19.2056,-69.3369,1627439632
gayny,RU,46.04,94,97,7.43,60.3071,54.3241,1627439632
puerto ayora,EC,71.38,84,20,8.84,-0.7393,-90.3518,1627439632
hervey bay,AU,75.31,70,99,12.15,-25.2986,152.8535,1627439633
vila velha,BR,73.35,78,0,10.36,-20.3297,-40.2925,1627439465
broken hill,AU,62.31,59,0,21.85,-31.95,141.4333,1627439524
mbini,GQ,75.56,85,92,5.03,1.574,9.6134,1627439633
ternate,ID,84.9,70,20,7.14,0.8,127.4,1627439634
manitouwadge,CA,61.52,72,60,3.56,49.1215,-85.8403,1627439634
thompson,CA,68.16,60,75,4.61,55.7435,-97.8558,1627439634
kloulklubed,PW,79.3,77,85,12.35,7.0419,134.2556,1627439635
bredasdorp,ZA,52.92,66,100,8.05,-34.5322,20.0403,1627439635
fairbanks,US,61.14,87,90,4.61,64.8378,-147.7164,1627439403
guarapari,BR,73.29,81,6,11.72,-20.6667,-40.4975,1627439635
bradford,GB,60.55,80,20,5.75,53.7939,-1.7521,1627439363
porosozero,RU,59.4,68,85,4.14,62.7191,32.727,1627439636
apollonia,GR,78.26,76,0,22.91,36.9716,24.7231,1627439636
placido de castro,BR,79.54,56,74,0.96,-10.3353,-67.1856,1627439636
saint-philippe,RE,65.79,88,89,12.86,-21.3585,55.7679,1627439637
nouadhibou,MR,69.78,83,16,17.27,20.931,-17.0347,1627439637
fortuna,US,77.47,92,90,4.61,40.5982,-124.1573,1627439637
jiuquan,CN,86.41,15,39,3.94,39.7432,98.5174,1627439637
axim,GH,75.58,81,100,8.93,4.8699,-2.2405,1627439638
omboue,GA,72.21,85,35,4.61,-1.5746,9.2618,1627439638
tiksi,RU,41.74,80,15,14.43,71.6872,128.8694,1627439638
iqaluit,CA,44.33,75,40,8.99,63.7506,-68.5145,1627439388
ulladulla,AU,75.87,40,69,15.08,-35.35,150.4667,1627439639
northam,GB,61.3,92,24,7.81,51.0333,-4.2167,1627439639
san vicente,AR,35.2,62,0,3.71,-26.6167,-54.1333,1627439639
padang,ID,84.02,71,86,3.31,-0.9492,100.3543,1627439640
murray bridge,AU,57.69,62,4,24.96,-35.1167,139.2667,1627439640
saskylakh,RU,66.76,38,16,19.46,71.9167,114.0833,1627439640
teahupoo,PF,74.53,71,78,6.11,-17.8333,-149.2667,1627439641
atambua,ID,85.17,43,69,3.4,-9.1061,124.8925,1627439641
grindavik,IS,50.56,93,0,14.97,63.8424,-22.4338,1627439641
sovetsk,RU,61.23,94,30,4.99,55.0839,21.8785,1627439641
briancon,FR,57.96,92,98,3.6,44.9,6.65,1627439642
victoria point,AU,76.06,60,2,4.0,-27.5833,153.3,1627439642
port alfred,ZA,60.28,83,11,14.32,-33.5906,26.891,1627439642
aswan,EG,87.1,26,0,11.5,24.0934,32.907,1627439643
stornoway,GB,59.94,94,90,11.5,58.2093,-6.3865,1627439643
harnosand,SE,63.0,78,11,9.51,62.6323,17.9379,1627439643
zavitinsk,RU,77.13,75,99,9.98,50.1167,129.45,1627439643
malakal,SS,69.69,97,100,3.42,9.5334,31.6605,1627439644
castro,BR,46.02,91,100,7.02,-24.7911,-50.0119,1627439644
hofn,IS,53.82,83,100,6.31,64.2539,-15.2082,1627439644
zhanakorgan,KZ,83.79,18,0,16.67,43.9098,67.2495,1627439645
jinchang,CN,84.34,16,1,6.73,38.4953,102.1739,1627439645
srednekolymsk,RU,37.26,97,100,9.13,67.45,153.6833,1627439645
los llanos de aridane,ES,69.55,83,90,13.8,28.6585,-17.9182,1627439646
artyom,AZ,77.14,70,83,40.87,40.4723,50.333,1627439646
carutapera,BR,76.8,86,84,4.81,-1.195,-46.02,1627439646
aykhal,RU,85.05,32,33,6.38,66.0,111.5,1627439646
marsa matruh,EG,79.0,78,0,8.05,31.3525,27.2453,1627439610
san jorge,AR,43.0,49,86,8.46,-31.8962,-61.8598,1627439647
kyakhta,RU,73.31,51,5,2.89,50.3508,106.4494,1627439647
san cristobal,VE,73.58,95,60,1.5,7.7669,-72.225,1627439647
sao joao da barra,BR,69.67,80,1,13.44,-21.6403,-41.0511,1627439648
porto novo,BJ,76.82,83,100,7.81,6.4965,2.6036,1627439648
karasjok,NO,44.71,93,83,6.85,69.4719,25.5112,1627439648
jalu,LY,79.41,44,0,5.44,29.0331,21.5482,1627439649
ucluelet,CA,85.05,78,0,3.0,48.9329,-125.5528,1627439369
quarai,BR,38.35,62,0,7.31,-30.3875,-56.4514,1627439649
waitati,NZ,52.81,54,49,3.22,-45.75,170.5667,1627439649
laguna,US,94.84,34,1,5.01,38.421,-121.4238,1627439649
danville,US,83.26,82,1,4.61,36.586,-79.395,1627439650
kahului,US,85.26,76,40,23.02,20.8947,-156.47,1627439407
kodiak,US,62.11,55,90,4.61,57.79,-152.4072,1627439650
goderich,CA,68.92,88,0,6.91,43.7501,-81.7165,1627439650
meulaboh,ID,82.92,73,53,1.1,4.1363,96.1285,1627439651
lavrentiya,RU,44.1,99,100,10.11,65.5833,-171.0,1627439651
bathsheba,BB,81.21,78,40,16.11,13.2167,-59.5167,1627439651
geraldton,AU,66.13,82,90,9.22,-28.7667,114.6,1627439651
faanui,PF,77.81,75,63,8.3,-16.4833,-151.75,1627439626
bambous virieux,MU,68.22,94,75,16.11,-20.3428,57.7575,1627439652
bonthe,SL,76.57,85,100,9.62,7.5264,-12.505,1627439652
belyy yar,RU,58.89,88,75,8.95,53.6039,91.3903,1627439652
airai,TL,76.06,34,89,4.88,-8.9266,125.4092,1627439653
ilulissat,GL,53.62,62,100,4.61,69.2167,-51.1,1627439634
caravelas,BR,70.63,89,2,6.02,-17.7125,-39.2481,1627439643
san patricio,US,84.88,68,20,7.65,28.017,-97.5169,1627439653
ponta do sol,PT,70.72,78,3,3.98,32.6667,-17.1,1627439653
pangai,TO,75.31,78,75,9.22,-19.8,-174.35,1627439654
buala,SB,83.64,73,93,9.31,-8.145,159.5921,1627439654
kaspiyskiy,RU,72.05,49,100,9.53,45.3929,47.3707,1627439654
odweyne,SO,67.96,71,100,18.63,9.4092,45.064,1627439655
kikwit,CD,64.4,28,3,2.8,-5.041,18.8162,1627439655
hamilton,US,77.88,80,1,0.0,39.1834,-84.5333,1627439363
port lincoln,AU,56.62,56,19,24.0,-34.7333,135.8667,1627439405
ugoofaaru,MV,82.62,75,72,13.91,5.6667,73.0,1627439655
marovoay,MG,68.14,64,93,5.82,-16.1,46.6333,1627439656
asau,RO,72.39,71,12,6.04,46.4333,26.4,1627439656
torbat-e jam,IR,78.87,17,0,22.32,35.244,60.6225,1627439656
tual,ID,80.8,81,100,12.82,-5.6667,132.75,1627439656
andenes,NO,50.07,100,90,9.22,69.3143,16.1194,1627439657
sitka,US,60.69,77,75,4.61,57.0531,-135.33,1627439657
clyde river,CA,43.03,87,90,6.91,70.4692,-68.5914,1627439615
noumea,NC,78.78,99,14,14.25,-22.2763,166.4572,1627439657
ascension,US,87.01,86,1,3.44,30.2169,-90.9001,1627439658
veliki preslav,BG,67.32,51,0,2.28,43.1667,26.8167,1627439658
alexandria,EG,76.96,88,0,8.05,31.2156,29.9553,1627439658
sao filipe,CV,73.83,82,9,8.72,14.8961,-24.4956,1627439659
biak,ID,82.89,68,77,6.87,-0.9131,122.8766,1627439659
westport,US,78.94,80,90,1.01,41.1415,-73.3579,1627439659
presidencia roque saenz pena,AR,42.13,29,0,3.18,-26.7852,-60.4388,1627439659
avarua,CK,77.05,65,21,6.91,-21.2078,-159.775,1627439660
ust-nera,RU,51.6,77,100,10.54,64.5667,143.2,1627439660
tabou,CI,76.32,75,100,7.45,4.423,-7.3528,1627439660
christchurch,NZ,58.48,52,3,1.99,-43.5333,172.6333,1627439405
ojinaga,MX,95.95,17,1,10.36,29.5667,-104.4167,1627439641
ixtapa,MX,85.23,74,90,0.0,20.7,-105.2,1627439661
maceio,BR,72.84,100,20,3.44,-9.6658,-35.7353,1627439566
buraydah,SA,91.85,18,20,9.93,26.326,43.975,1627439661
cidreira,BR,46.4,59,4,17.81,-30.1811,-50.2056,1627439661
college,US,61.12,88,90,4.61,64.8569,-147.8028,1627439662
say,NE,77.56,78,100,7.43,13.1007,2.3689,1627439662
saldanha,ZA,53.65,65,100,5.46,-33.0117,17.9442,1627439615
ambulu,ID,83.25,56,6,6.04,-8.345,113.6058,1627439662
kavieng,PG,84.09,73,13,7.09,-2.5744,150.7967,1627439588
berlevag,NO,46.62,87,98,6.17,70.8578,29.0864,1627439663
praya,CV,77.54,78,75,9.22,14.9215,-23.5087,1627439663
bria,CF,67.8,98,100,3.29,6.5423,21.9863,1627439663
sao felix do xingu,BR,71.42,50,0,1.57,-6.6447,-51.995,1627439663
okhotsk,RU,62.49,81,73,12.55,59.3833,143.3,1627439531
pokaran,IN,83.03,72,100,20.62,26.9167,71.9167,1627439664
saint-francois,FR,63.48,99,90,3.44,46.4154,3.9054,1627439664
babanka,UA,68.74,58,100,7.52,48.7097,30.4483,1627439664
shumikha,RU,56.59,59,3,9.4,55.2261,63.2961,1627439665
pangody,RU,52.99,67,98,11.48,65.85,74.4859,1627439665
ahipara,NZ,59.94,78,64,8.28,-35.1667,173.1667,1627439641
chapais,CA,51.58,64,82,4.0,49.7834,-74.8492,1627439665
lingyuan,CN,76.33,81,100,2.64,41.24,119.4011,1627439666
hasaki,JP,88.29,79,100,21.63,35.7333,140.8333,1627439666
cayenne,GF,82.09,81,10,5.01,4.9333,-52.3333,1627439403
truro,GB,61.56,88,20,8.05,50.2653,-5.0544,1627439666
brattvag,NO,66.69,94,90,1.14,62.6002,6.4434,1627439667
awjilah,LY,78.89,47,0,5.68,29.1081,21.2869,1627439667
faya,SA,64.51,84,75,5.82,18.3851,42.4509,1627439667
lompoc,US,73.54,81,90,12.66,34.6391,-120.4579,1627439667
henties bay,NA,55.85,82,0,5.37,-22.116,14.2845,1627439668
almaty,KZ,73.31,33,40,8.95,43.25,76.95,1627439668
leningradskiy,RU,33.73,98,100,9.98,69.3833,178.4167,1627439668
rafaela,AR,43.99,44,86,4.0,-31.2503,-61.4867,1627439669
oranjestad,AW,82.35,78,20,13.8,12.524,-70.027,1627439669
rocha,UY,45.34,80,99,16.75,-34.4833,-54.3333,1627439669
coihueco,CL,41.74,93,0,10.36,-36.6167,-71.8333,1627439669
lufilufi,WS,87.58,73,41,12.48,-13.8745,-171.5986,1627439670
talnakh,RU,61.65,86,96,4.45,69.4865,88.3972,1627439670
tiarei,PF,80.01,69,62,7.52,-17.5333,-149.3333,1627439670
khuzdar,PK,84.97,49,100,5.06,27.7384,66.6434,1627439671
umm kaddadah,SD,78.75,69,100,5.14,13.6017,26.6876,1627439671
pitimbu,BR,75.79,85,12,7.83,-7.4706,-34.8086,1627439671
kruisfontein,ZA,52.88,86,26,12.77,-34.0033,24.7314,1627439671
villa carlos paz,AR,43.39,48,92,1.99,-31.4241,-64.4978,1627439672
maningrida,AU,86.86,43,57,10.49,-12.0667,134.2667,1627439672
tiznit,MA,69.24,68,2,1.12,29.5833,-9.5,1627439672
amet,IN,77.88,77,100,14.79,25.3,73.9333,1627439672
namibe,AO,64.45,83,0,5.68,-15.1961,12.1522,1627439673
salto,UY,39.87,77,22,3.0,-31.3833,-57.9667,1627439423
hobyo,SO,76.51,78,99,19.39,5.3505,48.5268,1627439673
saint-georges,GD,80.28,83,40,11.5,12.0564,-61.7485,1627439673
kanigoro,ID,82.76,56,14,10.92,-8.13,112.219,1627439674
progreso,MX,82.51,82,15,9.44,21.2833,-89.6667,1627439674
jieshi,CN,89.94,71,37,12.46,22.8134,115.8257,1627439612
petropavlovsk-kamchatskiy,RU,79.39,44,20,11.18,53.0452,158.6483,1627439674
ribeira grande,PT,72.01,85,55,8.61,38.5167,-28.7,1627439675
vasterhaninge,SE,68.45,44,99,4.27,59.1167,18.1,1627439675
usevya,TZ,60.58,56,5,6.93,-7.1,31.2333,1627439675
mount gambier,AU,46.31,87,75,29.93,-37.8333,140.7667,1627439676
shingu,JP,86.99,55,99,2.64,33.7333,135.9833,1627439676
nome,US,50.16,93,90,12.66,64.5011,-165.4064,1627439676
lorengau,PG,84.58,72,5,6.29,-2.0226,147.2712,1627439676
yulara,AU,71.44,35,40,6.91,-25.2406,130.9889,1627439677
victoria,HK,94.96,76,99,5.99,22.2855,114.1577,1627439586
mwinilunga,ZM,49.14,56,100,4.59,-11.7358,24.4293,1627439677
domoni,KM,74.37,72,10,12.48,-12.2569,44.5319,1627439677
hualmay,PE,63.84,86,43,11.23,-11.0964,-77.6139,1627439678
fuerte olimpo,PY,59.81,32,100,8.63,-21.0415,-57.8738,1627439678
salalah,OM,77.09,100,90,9.22,17.0151,54.0924,1627439678
san andres,CO,82.42,83,75,6.91,12.5847,-81.7006,1627439679
cabra,ES,75.9,53,0,3.06,37.4725,-4.4421,1627439679
sola,VU,78.91,80,39,21.79,-13.8833,167.55,1627439601
lazaro cardenas,MX,80.92,82,94,1.3,17.9583,-102.2,1627439679
canete,CL,40.39,84,0,5.73,-37.8,-73.4,1627439679
rabo de peixe,PT,67.51,83,40,9.22,37.8,-25.5833,1627439680
chuy,UY,43.18,73,49,16.15,-33.6971,-53.4616,1627439680
buluang,PH,86.11,74,87,15.39,13.3068,123.3425,1627439680
nogliki,RU,68.02,90,100,3.98,51.8333,143.1667,1627439681
bolitoc,PH,82.6,86,99,15.5,15.7395,119.8769,1627439681
vilyuysk,RU,75.42,35,25,8.1,63.7553,121.6247,1627439681
palmas de monte alto,BR,69.31,43,89,4.45,-14.2672,-43.1619,1627439681
kisaran,ID,85.73,66,86,3.22,2.9845,99.6158,1627439682
jitra,MY,85.91,79,20,5.99,6.2681,100.4217,1627439682
mnogovershinnyy,RU,77.38,47,100,0.98,53.9353,139.9242,1627439682
palmer,US,67.48,85,75,0.0,42.1584,-72.3287,1627439623
banda aceh,ID,85.78,66,75,12.66,5.5577,95.3222,1627439463
bengkulu,ID,82.89,63,66,4.32,-3.8004,102.2655,1627439683
port hardy,CA,64.58,68,40,10.36,50.6996,-127.4199,1627439407
chulucanas,PE,71.91,74,89,7.18,-5.0925,-80.1625,1627439683
mvuma,ZW,42.37,93,0,4.5,-19.2792,30.5283,1627439683
bulgan,MN,64.65,74,89,3.31,48.8125,103.5347,1627439684
martapura,ID,84.29,74,0,6.91,-3.4167,114.85,1627439684
harper,LR,76.17,75,100,7.43,4.375,-7.7169,1627439684
butaritari,KI,81.66,72,100,4.5,3.0707,172.7902,1627439685
pochutla,MX,79.83,91,96,3.69,15.7432,-96.4661,1627439685
marapanim,BR,74.19,94,69,3.27,-0.7175,-47.6997,1627439685
krasnozerskoye,RU,65.1,51,92,6.08,53.9828,79.2374,1627439686
kerema,PG,82.33,78,97,10.94,-7.9631,145.7785,1627439686
vardo,NO,46.6,86,97,13.94,70.3705,31.1107,1627439686
nizwa,OM,91.09,42,88,5.79,22.9333,57.5333,1627439686
new amsterdam,GY,75.99,90,7,4.12,6.25,-57.5167,1627439687
giyani,ZA,52.03,61,0,5.12,-23.3025,30.7187,1627439687
marsaxlokk,MT,79.09,53,0,4.61,35.8419,14.5431,1627439687
claresholm,CA,77.02,46,45,3.44,50.0333,-113.5852,1627439523
cukai,MY,87.75,60,83,7.96,4.25,103.4167,1627439688
ust-kulom,RU,44.67,93,93,7.7,61.6864,53.6902,1627439688
vasilyevskiy mokh,RU,62.17,74,66,3.27,57.0132,35.919,1627439688
urucara,BR,79.36,57,52,1.7,-2.5364,-57.76,1627439688
amga,RU,75.85,37,8,8.05,60.8953,131.9608,1627439689
valdosta,US,77.14,93,75,3.44,30.8327,-83.2785,1627439595
ndele,CF,66.76,99,97,3.53,8.4109,20.6473,1627439689
general pico,AR,38.55,55,14,12.73,-35.6566,-63.7568,1627439689
yongan,CN,78.89,54,98,3.53,39.6957,113.6871,1627439690
tautira,PF,80.01,70,78,8.19,-17.7333,-149.15,1627439690
tabory,RU,53.02,63,71,7.07,58.5198,64.5495,1627439690
ozinki,RU,68.52,57,8,10.45,51.1786,49.6769,1627439691
bethanien,NA,51.78,47,0,3.42,-26.502,17.1583,1627439691
maneromango,TZ,60.67,98,7,3.31,-7.1988,38.7848,1627439691
puerto carreno,CO,75.72,91,100,4.43,6.189,-67.4859,1627439600
ponnani,IN,76.32,84,98,0.87,10.767,75.9252,1627439692
murupara,NZ,59.29,57,5,5.82,-38.4667,176.7,1627439692
nanortalik,GL,43.97,84,100,3.96,60.1432,-45.2371,1627439692
moose factory,CA,59.0,77,1,6.91,51.2585,-80.6094,1627439692
derzhavinsk,KZ,68.47,34,6,10.96,51.1,66.3167,1627439693
eyl,SO,78.57,58,100,20.56,7.9803,49.8164,1627439693
san jeronimo,PE,47.05,73,68,3.11,-11.9472,-75.2829,1627439693
tomiya,JP,81.79,93,100,3.98,38.3931,140.8861,1627439694
bentiu,SS,69.33,97,86,4.09,9.2333,29.8333,1627439694
marica,BR,76.91,55,1,5.73,-22.9194,-42.8186,1627439694
misratah,LY,78.33,68,0,8.66,32.3754,15.0925,1627439695
sibolga,ID,84.42,67,59,3.0,1.7427,98.7792,1627439695
kralendijk,BQ,80.58,78,6,8.05,12.15,-68.2667,1627439695
bardiyah,LY,77.27,66,0,8.19,31.7561,25.0865,1627439695
katsuura,JP,86.04,76,100,19.1,35.1333,140.3,1627439696
abalak,RU,53.08,90,76,2.37,58.1286,68.5944,1627439696
sokoni,TZ,75.85,76,0,17.29,-6.4333,39.55,1627439696
paoua,CF,66.56,94,100,1.83,7.2427,16.4406,1627439697
balaguer,ES,73.15,83,51,5.5,41.7912,0.8109,1627439697
bahir dar,ET,59.41,96,100,2.68,11.5936,37.3908,1627439697
ostrovnoy,RU,48.52,89,100,10.25,68.0531,39.5131,1627439697
zverinogolovskoye,RU,58.42,79,90,6.91,54.4586,64.8542,1627439698
takaungu,KE,72.09,84,53,16.64,-3.6837,39.8566,1627439698
inta,RU,43.29,97,100,3.76,66.0317,60.1659,1627439698
port augusta,AU,62.74,41,15,19.44,-32.5,137.7667,1627439699
meadow lake,US,74.68,58,98,10.58,34.8014,-106.5436,1627439699
chokwe,MZ,55.92,85,0,4.43,-24.5333,32.9833,1627439699
labuhan,ID,84.78,58,5,4.05,-6.8844,112.2051,1627439699
margate,GB,63.3,87,100,4.0,51.3813,1.3862,1627439700
batagay-alyta,RU,53.83,47,30,14.97,67.8006,130.4114,1627439700
kalmunai,LK,85.19,62,100,2.39,7.4167,81.8167,1627439700
olafsvik,IS,50.97,89,97,14.14,64.8945,-23.7142,1627439701
semey,KZ,62.82,51,0,4.47,50.4111,80.2275,1627439701
palana,RU,49.15,91,98,7.7,59.1167,159.9667,1627439701
medvedok,RU,54.73,62,24,7.29,57.3891,50.0351,1627439701
imbituba,BR,55.29,67,24,15.9,-28.24,-48.6703,1627439653
araouane,ML,90.77,42,42,16.96,18.9048,-3.5265,1627439702
sur,OM,98.01,39,100,23.82,22.5667,59.5289,1627439702
poum,NC,72.55,59,5,14.52,-20.2333,164.0167,1627439703
portland,US,88.38,41,40,1.99,45.5234,-122.6762,1627439359
shaunavon,CA,82.18,27,89,9.44,49.6501,-108.4181,1627439479
rovaniemi,FI,62.01,72,0,8.05,66.5,25.7167,1627439703
lazurne,UA,66.65,65,3,4.92,46.084,32.5295,1627439703
severo-kurilsk,RU,59.94,88,100,6.98,50.6789,156.125,1627439704
prainha,BR,75.63,73,0,3.27,-1.8,-53.48,1627439704
tessalit,ML,85.42,46,67,10.18,20.1986,1.0114,1627439704
peniche,PT,66.72,90,0,18.81,39.3558,-9.3811,1627439602
zhuzhou,CN,89.73,52,29,9.48,27.8333,113.15,1627439705
west wendover,US,90.61,25,1,10.36,40.7391,-114.0733,1627439705
codrington,AU,50.61,81,94,23.96,-38.2667,141.9667,1627439705
dingzhou,CN,78.91,80,100,8.16,38.5131,114.9956,1627439706
shimoda,JP,86.36,71,94,11.95,34.6667,138.95,1627439598
benemerito de las americas,MX,72.93,98,47,3.31,16.5167,-90.6439,1627439706
